Token;Label;AA_Correction;AA_Quaero;CF_Correction;CF_Quaero;CKP_Correction;CKP_Quaero;DN_Correction;DN_Quaero;LM_Correction;LM_Quaero;MB_Correction;MB_Quaero
:;;;;;;;;;;;;;
«;;;;;;;;;;;;;
C';;;;;;;;;;;;;
était;;;;;;;;;;;;;
un;;;;;;;;;;;;;
pauvre;;;;;;;;;;;;;
»;;;;;;;;;;;;;
";";;;;;;;;;;;;;
et;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
détourner;;;;;;;;;;;;;
les;;;;;;;;;;;;;
soupçons;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
repris;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
place;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
croisée;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
J';;;;;;;;;;;;;
y;;;;;;;;;;;;;
restai;;;;;;;;;;;;;
encore;;;;;;;;;;;;;
quelque;;;;;;;;;;;;;
temps;;;;;;;;;;;;;
0;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
bougeant;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
0;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
parlant;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
0;;;;;;;;;;;;;
serrant;;;;;;;;;;;;;
contre;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
poitrine;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
papier;;;;;;;;;;;;;
qui;;;;;;;;;;;;;
me;;;;;;;;;;;;;
brûlait;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Par;;;;;;;;;;;;;
moments;;;;;;;;;;;;;
0;;;;;;;;;;;;;
j';;;;;;;;;;;;;
essayais;;;;;;;;;;;;;
de;;;;;;;;;;;;;
me;;;;;;;;;;;;;
raisonner;;;;;;;;;;;;;
0;;;;;;;;;;;;;
de;;;;;;;;;;;;;
me;;;;;;;;;;;;;
donner;;;;;;;;;;;;;
du;;;;;;;;;;;;;
courage;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
me;;;;;;;;;;;;;
disais;;;;;;;;;;;;;
:;;;;;;;;;;;;;
«;;;;;;;;;;;;;
Qu';;;;;;;;;;;;;
en;;;;;;;;;;;;;
sais;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tu;;;;;;;;;;;;;
?;;;;;;;;;;;;;
c';;;;;;;;;;;;;
est;;;;;;;;;;;;;
peut-être;;;;;;;;;;;;;
une;;;;;;;;;;;;;
bonne;;;;;;;;;;;;;
nouvelle;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Peut;;;;;;;;;;;;;
0;;;;;;;;;;;;;
être;;;;;;;;;;;;;
on;;;;;;;;;;;;;
écrit;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
est;;;;;;;;;;;;;
guéri;;;;;;;;;;;;;
...;;;;;;;;;;;;;
»;;;;;;;;;;;;;
Mais;;;;;;;;;;;;;
0;;;;;;;;;;;;;
au;;;;;;;;;;;;;
fond;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
sentais;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
que;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
n';;;;;;;;;;;;;
était;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
vrai;;;;;;;;;;;;;
0;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
me;;;;;;;;;;;;;
mentais;;;;;;;;;;;;;
à;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
même;;;;;;;;;;;;;
0;;;;;;;;;;;;;
que;;;;;;;;;;;;;
la;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
dirait;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
était;;;;;;;;;;;;;
guéri;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Enfin;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
me;;;;;;;;;;;;;
décidai;;;;;;;;;;;;;
à;;;;;;;;;;;;;
passer;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
chambre;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
savoir;;;;;;;;;;;;;
une;;;;;;;;;;;;;
bonne;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
à;;;;;;;;;;;;;
quoi;;;;;;;;;;;;;
m';;;;;;;;;;;;;
en;;;;;;;;;;;;;
tenir;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Je;;;;;;;;;;;;;
sortis;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;;;;;;;;;;
salle;;;;;;;;;;;;;
à;;;;;;;;;;;;;
manger;;;;;;;;;;;;;
0;;;;;;;;;;;;;
lentement;;;;;;;;;;;;;
0;;;;;;;;;;;;;
sans;;;;;;;;;;;;;
avoir;;;;;;;;;;;;;
l';;;;;;;;;;;;;
air;;;;;;;;;;;;;
";";;;;;;;;;;;;;
mais;;;;;;;;;;;;;
quand;;;;;;;;;;;;;
je;;;;;;;;;;;;;
fus;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
chambre;;;;;;;;;;;;;
0;;;;;;;;;;;;;
avec;;;;;;;;;;;;;
quelle;;;;;;;;;;;;;
rapidité;;;;;;;;;;;;;
fiévreuse;;;;;;;;;;;;;
j';;;;;;;;;;;;;
allumai;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
lampe;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Et;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
mains;;;;;;;;;;;;;
tremblaient;;;;;;;;;;;;;
en;;;;;;;;;;;;;
ouvrant;;;;;;;;;;;;;
cette;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
de;;;;;;;;;;;;;
mort;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Et;;;;;;;;;;;;;
de;;;;;;;;;;;;;
quelles;;;;;;;;;;;;;
larmes;;;;;;;;;;;;;
brûlantes;;;;;;;;;;;;;
je;;;;;;;;;;;;;
l';;;;;;;;;;;;;
arrosai;;;;;;;;;;;;;
0;;;;;;;;;;;;;
lorsque;;;;;;;;;;;;;
je;;;;;;;;;;;;;
l';;;;;;;;;;;;;
eus;;;;;;;;;;;;;
ouverte;;;;;;;;;;;;;
!;;;;;;;;;;;;;
...;;;;;;;;;;;;;
Je;;;;;;;;;;;;;
la;;;;;;;;;;;;;
relus;;;;;;;;;;;;;
vingt;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
0;;;;;;;;;;;;;
espérant;;;;;;;;;;;;;
toujours;;;;;;;;;;;;;
m';;;;;;;;;;;;;
être;;;;;;;;;;;;;
trompé;;;;;;;;;;;;;
";";;;;;;;;;;;;;
mais;;;;;;;;;;;;;
0;;;;;;;;;;;;;
pauvre;;;;;;;;;;;;;
de;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
!;;;;;;;;;;;;;
j';;;;;;;;;;;;;
eus;;;;;;;;;;;;;
beau;;;;;;;;;;;;;
la;;;;;;;;;;;;;
lire;;;;;;;;;;;;;
et;;;;;;;;;;;;;
la;;;;;;;;;;;;;
relire;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
la;;;;;;;;;;;;;
tourner;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
tous;;;;;;;;;;;;;
les;;;;;;;;;;;;;
sens;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
pus;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
faire;;;;;;;;;;;;;
dire;;;;;;;;;;;;;
autre;;;;;;;;;;;;;
chose;;;;;;;;;;;;;
que;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
elle;;;;;;;;;;;;;
avait;;;;;;;;;;;;;
dit;;;;;;;;;;;;;
d';;;;;;;;;;;;;
abord;;;;;;;;;;;;;
0;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
savais;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
elle;;;;;;;;;;;;;
dirait;;;;;;;;;;;;;
:;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
«;;;;;;;;;;;;;
Il;;;;;;;;;;;;;
est;;;;;;;;;;;;;
mort;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Priez;PER;;;;;;;;;;;;
pour;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
!;;;;;;;;;;;;;
»;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Combien;MISC;;;;;;;;;;;;
de;MISC;;;;;;;;;;;;
temps;MISC;;;;;;;;;;;;
je;MISC;;;;;;;;;;;;
restai;MISC;;;;;;;;;;;;
là;MISC;;;;;;;;;;;;
0;MISC;;;;;;;;;;;;MISC
debout;MISC;;;;;;;;;;;;
0;;;;;;;;;;;;;
pleurant;;;;;;;;;;;;;
devant;;;;;;;;;;;;;
cette;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
ouverte;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
l';;;;;;;;;;;;;
ignore;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Je;;;;;;;;;;;;;
me;;;;;;;;;;;;;
souviens;;;;;;;;;;;;;
seulement;;;;;;;;;;;;;
que;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
yeux;;;;;;;;;;;;;
me;;;;;;;;;;;;;
cuisaient;;;;;;;;;;;;;
beaucoup;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
avant;;;;;;;;;;;;;
de;;;;;;;;;;;;;
sortir;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
chambre;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
baignai;LOC;;;;;;;;;;;;
mon;;;;;;;;;;;;;
visage;;;;;;;;;;;;;
longuement;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Puis;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
rentrai;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
la;;;;;;;;;;;;;
salle;;;;;;;;;;;;;
à;;;MISC;;;;;;;;;;
manger;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tenant;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
petite;;;;;;;;;;;;;
main;;;;;;;;;;;;;
crispée;;;;;;;;;;;;;
la;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
trois;;;;;;;;;;;;;
fois;;;;;;;;;;;;;
maudite;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Et;;;;;;;;;;;;;
maintenant;;;;;;;;;;;;;
0;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
allais;;;;;;;;;;;;;
-je;;;;;;;;;;;;;
faire;;;;;;;;;;;;;
?;;;;;;;;;;;;;
Comment;;;;;;;;;;;;;
m';;;;;;;;;;;;;
y;;;;;;;;;;;;;
prendre;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
annoncer;;;;;;;;;;;;;
l';;;;;;;;;;;;;
horrible;;;;;;;;;;;;;
nouvelle;;;;;;;;;;;;;
à;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
père;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
quel;;;;;;;;;;;;;
ridicule;;;;;;;;;;;;;
enfantillage;;;;;;;;;;;;;
m';;;;;;;;;;;;;
avait;;;;;;;;;;;;;
poussé;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
garder;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
seul;;;;;;;;;;;;;
?;;;;;;;;;;;;;
Un;;;;;;;;;;;;;
peu;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
tôt;;;;;;;;;;;;;
0;;;;;;;;;;;;;
un;;;;;;;;;;;;;
peu;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
tard;;;;;;;;;;;;;
0;;;;;;;;;;;;;
est;;;;;;;;;;;;;
-ce;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
l';;;;;;;;;;;;;
aurait;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
su;;;;;;;;;;;;;
?;;;;;;;;;;;;;
Quelle;;;;;;;;;;;;;
folie;;;;;;;;;;;;;
!;;;;;;;;;;;;;
Au;;;;;;;;;;;;;
moins;;;;;;;;;;;;;
0;;;;;;;;;;;;;
si;;;;;;;;;;;;;
j';;;;;;;;;;;;;
étais;;;;;;;;;;;;;
allé;;;;;;;;;;;;;
droit;;;;;;;;;;;;;
à;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
lorsque;;;;;;;;;;;;;
la;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
était;;;;;;;;;;;;;
arrivée;;;;;;;;;;;;;
0;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
l';;;;;;;;;;;;;
aurions;;;;;;;;;;;;;
ouverte;;;;;;;;;;;;;
ensemble;;;;;;;;;;;;;
";";;;;;;;;;;;;;
à;;;;;;;;;;;;;
présent;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
serait;;;;;;;;;;;;;
dit;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Or;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tandis;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
me;;;;;;;;;;;;;
parlais;;;;;;;;;;;;;
à;;;;;;;;;;;;;
moi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
même;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
m';;;;;;;;;;;;;
approchai;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;;;;;;;;;;
table;;;;;;;;;;;;;
et;;;;;;;;;;;;;
je;;;;;;;;;;;;;
vins;;;;;;;;;;;;;
m';;;;;;;;;;;;;
asseoir;;;;;;;;;;;;;
à;;;;;;;;;;;;;
côté;;;;;;;;;;;;;
de;;;;;;;;;;;;;
M.;PER;;;;;;;;;;;;
Eyssette;PER;;;;;;;;;;;;
0;;;;;;;;;;;;;
juste;;;;;;;;;;;;;
à;;;;;;;;;;;;;
côté;;;;;;;;;;;;;
de;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Le;;;;;;;;;;;;;
pauvre;;;;;;;;;;;;;
homme;;;;;;;;;;;;;
avait;;;;;;;;;;;;;
fermé;;;;;;;;;;;;;
ses;;;;;;;;;;;;;
livres;;;;;;;;;;;;;
et;;;;;;;;;;;;;
0;;;;;;;;;;;;;
de;;;;;;;;;;;;;
la;;;;;;;;;;;;;
barbe;;;;;;;;;;;;;
de;;;;;;;;;;;;;
sa;;;;;;;;;;;;;
plume;;;;;;;;;;;;;
0;;;;;;;;;;;;;
s';;;;;;;;;;;;;
amusait;;;;;;;;;;;;;
à;;;;;;;;;;;;;
chatouiller;;;;;;;;;;;;;
le;;;;;;;;;;;;;
museau;;;;;;;;;;;;;
blanc;;;;;;;;;;;;;
de;;;;;;;;;;;;;
Finet;PER;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Cela;;;;;;;;;;;;;
me;;;;;;;;;;;;;
serrait;;;;;;;;;;;;;
le;;;;;;;;;;;;;
cœur;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
s';;;;;;;;;;;;;
amusât;;;;;;;;;;;;;
ainsi;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Je;;;;;;;;;;;;;
voyais;;;;;;;;;;;;;
sa;;;;;;;;;;;;;
bonne;;;;;;;;;;;;;
figure;;;;;;;;;;;;;
que;;;;;;;;;;;;;
la;;;;;;;;;;;;;
lampe;;;;;;;;;;;;;
éclairait;;;;;;;;;;;;;
à;;;;;;;;;;;;;
demi;;;;;;;;;;;;;
0;;;;;;;;;;;;;
s';;;;;;;;;;;;;
animer;;;;;;;;;;;;;
et;;;;;;;;;;;;;
rire;;;;;;;;;;;;;
par;;;;;;;;;;;;;
moments;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
j';;;;;;;;;;;;;
avais;;;;;;;;;;;;;
envie;;;;;;;;;;;;;
de;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
dire;;;;;;;;;;;;;
:;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
«;;;;;;;;;;;;;
Oh;MISC;;;;;;;;;;;;
!;MISC;;;;;;;;;;;;
non;;;;;;;;;;;;;
0;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
riez;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
";";;;;;;;;;;;;;
je;;;;;;;;;;;;;
vous;;;;;;;;;;;;;
en;;;;;;;;;;;;;
prie;;;;;;;;;;;;;
.;;;;;;;;;;;;;
»;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Alors;;;;;;;;;;;;;
0;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
je;;;;;;;;;;;;;
le;;;;;;;;;;;;;
regardais;;;;;;;;;;;;;
ainsi;;;;;;;;;;;;;
tristement;;;;;;;;;;;;;
avec;;;;;;;;;;;;;
0;;;;;;;;;;;;;
ma;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
à;;;;;;;;;;;;;
la;;;;;;;;;;;;;
main;;;;;;;;;;;;;
0;;;;;;;;;;;;;
M.;PER;;;;;;;;;;;;
Eyssette;PER;;;;;;;;;;;;
leva;;;;;;;;;;;;;
la;;;;;;;;;;;;;
tête;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Nos;;;;;;;;;;;;;
regards;;;;;;;;;;;;;
se;;;;;;;;;;;;;
rencontrèrent;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
je;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
sais;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
vit;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
le;;;;;;;;;;;;;
mien;;;;;;;;;;;;;
0;;;;;;;;;;;;;
mais;;;;;;;;;;;;;
je;;;;;;;;;;;;;
sais;;;;;;;;;;;;;
que;;;;;;;;;;;;;
sa;;;;;;;;;;;;;
figure;;;;;;;;;;;;;
se;;;;;;;;;;;;;
décomposa;;;;;;;;;;;;;
tout;;;;;;;;;;;;;
à;;;;;;;;;;;;;
coup;;;;;;;;;;;;;
0;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
un;;;;;;;;;;;;;
grand;;;;;;;;;;;;;
cri;;;;;;;;;;;;;
jaillit;;;;;;;;;;;;;
de;;;;;;;;;;;;;
sa;;;;;;;;;;;;;
poitrine;;;;;;;;;;;;;
0;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
me;;;;;;;;;;;;;
dit;;;;;;;;;;;;;
d';;;;;;;;;;;;;
une;;;;;;;;;;;;;
voix;;;;;;;;;;;;;
à;;;;;;;;;;;;;
fendre;;;;;;;;;;;;;
l';;;;;;;;;;;;;
âme;;;;;;;;;;;;;
:;;;;;;;;;;;;;
«;;;;;;;;;;;;;
Il;;;;;;;;;;;;;
est;;;;;;;;;;;;;
mort;;;;;;;;;;;;;
0;;;;;;;;;;;;;
n';;;;;;;;;;;;;
est;;;;;;;;;;;;;
-ce;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
?;;;;;;;;;;;;;
»;;;;;;;;;;;;;
que;;;;;;;;;;;;;
la;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
glissa;;;;;;;;;;;;;
de;;;;;;;;;;;;;
mes;;;;;;;;;;;;;
doigts;;;;;;;;;;;;;
0;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
tombai;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
ses;;;;;;;;;;;;;
bras;;;;;;;;;;;;;
en;;;;;;;;;;;;;
sanglotant;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
que;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
pleurâmes;;;;;;;;;;;;;
0;;;;;;;;;;;;;
tandis;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
à;;;;;;;;;;;;;
nos;;;;;;;;;;;;;
pieds;;;;;;;;;;;;;
Finet;PER;;;;;;;;;;;;
jouait;;;;;;;;;;;;;
avec;;;;;;;;;;;;;
la;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
0;;;;;;;;;;;;;
l';;;;;;;;;;;;;
horrible;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
de;;;;;;;;;;;;;
mort;;;;;;;;;;;;;
0;;;;;;;;;;;;;
cause;;;;;;;;;;;;;
de;;;;;;;;;;;;;
toutes;;;;;;;;;;;;;
nos;;;;;;;;;;;;;
larmes;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Écouter;MISC;;;;;;;;;;;;
0;MISC;;;;;;;;;;;;MISC
je;MISC;;;;;;;;;;;;
ne;MISC;;;;;;;;;;;;
mens;MISC;;;;;;;;;;;;
pas;;;;;;;;;;;;;
:;;;;;;;;;;;;;
voilà;;;;;;;;;;;;;
longtemps;;;;;;;;;;;;;
que;;;;;;;;;;;;;
ces;;;;;;;;;;;;;
choses;;;;;;;;;;;;;
se;;;;;;;;;;;;;
sont;;;;;;;;;;;;;
passées;;;;;;;;;;;;;
0;;;;;;;;;;;;;
voilà;;;;;;;;;;;;;
longtemps;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
dort;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
la;;;;;;;;;;;;;
terre;;;;;;;;;;;;;
0;;;;;;;;;;;;;
mon;;;;;;;;;;;;;
cher;;;;;;;;;;;;;
abbé;;;;;;;;;;;;;
que;;;;;;;;;;;;;
j';;;;;;;;;;;;;
aimais;;;;;;;;;;;;;
tant;;;;;;;;;;;;;
";";;;;;;;;;;;;;
eh;;;;;;;;;;;;;
bien;;;;;;;;;;;;;
0;;;;;;;;;;;;;
encore;;;;;;;;;;;;;
aujourd'hui;;;;;;;;;;;;;
0;;;;;;;;;;;;;
quand;;;;;;;;;;;;;
je;;;;;;;;;;;;;
reçois;;;;;;;;;;;;;
une;;;;;;;;;;;;;
dépêche;;;;;;;;;;;;;
0;;;;;;;;;;;;;
je;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
peux;;;;;;;;;;;;;
pas;;;;;;;;;;;;;
l';;;;;;;;;;;;;
ouvrir;;;;;;;;;;;;;
sans;;;;;;;;;;;;;
un;;;;;;;;;;;;;
frisson;;;MISC;;;;;;;;;;
de;;;;;;;;;;;;;
terreur;;;;;;;;;;;;;
.;;;;;;;;;;;;;
Il;;;;;;;;;;;;;
me;;;;;;;;;;;;;
semble;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
vais;;;;;;;;;;;;;
lire;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
est;;;;;;;;;;;;;
mort;;;;;;;;;;;;;
0;;;;;;;;;;;;;
et;;;;;;;;;;;;;
qu';;;;;;;;;;;;;
il;;;;;;;;;;;;;
faut;;;;;;;;;;;;;
prier;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
lui;;;;;;;;;;;;;
!;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
IV;;;;;;;;;;;;;
--;;;;;;;;;;;;;
LE;;;;;;;;;;;;;
CAHIER;;;;;;;;;;;;;
ROUGE;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
On;;;;;;;;;;;;;
trouve;;;;;;;;;;;;;
dans;;;;;;;;;;;;;
les;;;;;;;;;;;;;
vieux;;;;;;;;;;;;;
missels;;;;;;;;;;;;;
de;;;;;;;;;;;;;
naïves;;;;;;;;;;;;;
enluminures;;;;;;;;;;;;;
0;;;;;;;;;;;;;
où;;;;;;;;;;;;;
la;;;;;;;;;;;;;
Dame;;;;;;;;;;;;;
des;;;;;;;;;;;;;
sept;;;;;;;;;;;;;
douleurs;;;;;;;;;;;;;
est;;;;;;;;;;;;;
représentée;;;;;;;;;;;;;
ayant;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
chacune;;;;;;;;;;;;;
de;;;;;;;;;;;;;
ses;;;;;;;;;;;;;
joues;;;;;;;;;;;;;
une;;;;;;;;;;;;;
grande;;;;;;;;;;;;;
ride;;;;;;;;;;;;;
profonde;;;;;;;;;;;;;
0;;;;;;;;;;;;;
cicatrice;;;;;;;;;;;;;
divine;;;;;;;;;;;;;
que;;;;;;;;;;;;;
l';;;;;;;;;;;;;
artiste;;;;;;;;;;;;;
a;;;;;;;;;;;;;
mise;;;;;;;;;;;;;
là;;;;;;;;;;;;;
pour;;;;;;;;;;;;;
nous;;;;;;;;;;;;;
dire;;;;;;;;;;;;;
:;;;;;;;;;;;;;
«;;;;;;;;;;;;;
Regardez;;;;;;;;;;;;;
comme;;;;;;;;;;;;;
elle;;;;;;;;;;;;;
a;;;;;;;;;;;;;
pleuré;;;;;;;;;;;;;
!;;;;;;;;;;;;;
...;;;;;;;;;;;;;
»;;;;;;;;;;;;;
Cette;;;;;;;;;;;;;
ride;;;;;;;;;;;;;
--;;;;;;;;;;;;;
la;;;;;;;;;;;;;
ride;;;;;;;;;;;;;
des;;;;;;;;;;;;;
larmes;;;;;;;;;;;;;
--;;;;;;;;;;;;;
je;;;;;;;;;;;;;
jure;;;;;;;;;;;;;
que;;;;;;;;;;;;;
je;;;;;;;;;;;;;
l';;;;;;;;;;;;;
ai;;;;;;;;;;;;;
vue;;;;;;;;;;;;;
sur;;;;;;;;;;;;;
le;;;;;;;;;;;;;
visage;;;;;;;;;;;;;
amaigri;;;;;;;;;;;;;
de;;;;;;;;;;;;;
Mme;PER;;;;;;;;;;;;
Eyssette;PER;;;;;;;;;;;;
0;;;;;;;;;;;;;
lorsqu';;;;;;;;;;;;;
elle;;;;;;;;;;;;;
revint;;;;;;;;;;;;;
à;;;;;;;;;;;;;
Lyon;LOC;;;;;;;;;;;;
0;;;;;;;;;;;;;
après;;;;;;;;;;;;;
avoir;;;;;;;;;;;;;
enterré;;;;;;;;;;;;;
son;;;;;;;;;;;;;
fils;;;;;;;;;;;;;
.;;;;;;;;;;;;;
"
";;;;;;;;;;;;;
Pauvre;;;;;;;;;;;;;
mère;;;;;;;;;;;;;
0;;;;;;;;;;;;;
depuis;;;;;;;;;;;;;
ce;;;;;;;;;;;;;
jour;;;;;;;;;;;;;
elle;;;;;;;;;;;;;
ne;;;;;;;;;;;;;
voulut;;;;;;;;;;;;;
plus;;;;;;;;;;;;;
sourire;;;;;;;;;;;;;
.;;;;;;;;;;;;;
